submission_id,dataset_id,collection_id,collection_title,pi_list
13216,12676,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13388,12853,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13389,12854,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13390,12855,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13712,13204,2336,Children of Bipolar Parents: A High Risk Follow Up Study (also known as Bipolar Offspring Study - BIOS),Boris Birmaher
14558,14329,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
14996,14791,2701,Ovarian Effects on Intrinsic Connectivity and the Affective Enhancement of Memory,Lisa Barrett
15401,15430,2494,Functional Anatomic Studies of Self-Affect:  A Multimodal Approach,James V. Haxby
15568,15603,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
16160,16232,2338,Multimodal Imaging of Early Neural Signature in Autism Spectrum Disorder,Inna Fishman
16174,16248,2393,Fear extinction and sleep across the spectrum of severity in post-traumatic hyperarousal,Edward Pace-Schott
16632,16734,1906,Atypical Late Neurodevelopment in Autism,"Janet E Lainhart, MD"
16742,16860,2809,Brain plasticity underlying acquisition of new organizational skills in children,Francisco Castellanos
16865,16986,2881,The structure and dynamics of mental state representations,Diana Tamir
17207,17592,2716,The Role of Caregiver Social Processes on Neural and Endocrine Function in Infants,Ian Gotlib
17618,18036,2590,Using complex video stimuli to elucidate atypical brain functioning in ASD,Daniel Kennedy
17632,18054,2432,Modulation of ventrolateral prefrontal cortical activity during reward processing by transcranial direct current stimulation,Mary Phillips
17929,18368,2930,Brain connectivity and the role of myelin in Psychosis,Sophia Frangou
17964,18411,2336,Children of Bipolar Parents: A High Risk Follow Up Study (also known as Bipolar Offspring Study - BIOS),Boris Birmaher
18427,18966,2582,Developing Neuronal KCNQ Channel Modulators for Mood Disorders,James Murrough
18478,19020,2701,Ovarian Effects on Intrinsic Connectivity and the Affective Enhancement of Memory,Lisa Barrett
18506,19054,2690,Integration of Neural Networks and Attachment in Human Infants,Nancy Mcelwain
18551,19103,2955,1/3 Brain Function and Genetics in Pediatric Obsessive-Compulsive Behaviors,David Rosenberg
20610,21214,2692,The New Tics Study: A Novel Approach to Pathophysiology and Cause of Tic Disorders,Kevin Black
21758,22706,2641,Investigating a Neurobehavioral Mechanism of Paranoia,Amy Pinkham
22355,23357,2643,The Neurobiology of Social Decision-Making: Social Inference and Context,Ralph Adolphs
22673,23688,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
22797,23819,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
22806,23828,2483,Sensory-learning deficits and conversion to psychosis among individuals at clinical high-risk: a longitudinal model-based fMRI study,Ragy Girgis
22861,23883,2521,"Computational, Neural, and Behavioral Studies of Competition-Dependent Learning",Kenneth Norman
24455,25650,2930,Brain connectivity and the role of myelin in Psychosis,Sophia Frangou
26560,28037,2336,Children of Bipolar Parents: A High Risk Follow Up Study (also known as Bipolar Offspring Study - BIOS),Boris Birmaher
26588,28065,2494,Functional Anatomic Studies of Self-Affect:  A Multimodal Approach,James V. Haxby
26880,28382,2994,Towards Multisystem-Brain Successful Aging in Schizophrenia Spectrum,Lelliot Hong
27865,29404,2402,Whole Brain Functional Connectivity Measures of Attention,Marvin Chun
28004,29544,2643,The Neurobiology of Social Decision-Making: Social Inference and Context,Ralph Adolphs
32449,34353,3100,Microstructural Neuroimaging of Synaptic Pruning and Myelination in Adolescent Psychosis,Katherine Karlsgodt
34942,37163,2994,Towards Multisystem-Brain Successful Aging in Schizophrenia Spectrum,Lelliot Hong
9295,8031,1890,Fetal Programming of the Newborn and Infant Human Brain,Claudia Buss and Pathik D. Wadhwa
9533,8269,1890,Fetal Programming of the Newborn and Infant Human Brain,Claudia Buss and Pathik D. Wadhwa
9613,8350,1890,Fetal Programming of the Newborn and Infant Human Brain,Claudia Buss and Pathik D. Wadhwa
9724,8462,1906,Atypical Late Neurodevelopment in Autism,"Janet E Lainhart, MD"
10080,8821,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
10557,9325,2026,Biomarkers of Developmental Trajectories and Treatment in ASD,Susan Bookheimer
10711,9563,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
10717,9572,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
10721,9576,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
10891,9761,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
10995,9871,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11000,9876,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11296,10282,2340,Impact of Maternal Caregiving on Brain-Behavior Relationships in Infants,Mary Louise Phillips
11316,10302,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11317,10303,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11422,10411,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
11617,10713,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
11660,10760,2292,Molecular Mechanisms of Atypical Habituation in Autism Spectrum Disorders,Natalia Kleinhans
11964,11082,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12049,11287,2274,Bipolar & Schizophrenia Consortium for Parsing Intermediate Phenotypes (B-SNIP 1),Carol Tamminga
12138,11409,2340,Impact of Maternal Caregiving on Brain-Behavior Relationships in Infants,Mary Louise Phillips
12231,11502,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12367,11653,2126,Psychosis and Affective Research Domains and Intermediate Phenotypes (PARDIP),Carol Tamminga
12413,11708,2135,The Effects of Early Life Stress on Neurodevelopment in Children and Adolescents,Ian Gotlib
12546,11845,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
12962,12407,2417,The Neurobiology of Social Decision-Making,Ralph Adolphs
12966,12411,2417,The Neurobiology of Social Decision-Making,Ralph Adolphs
12969,12414,2417,The Neurobiology of Social Decision-Making,Ralph Adolphs
13153,12613,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13165,12625,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13168,12628,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13210,12670,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13227,12687,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13363,12827,2340,Impact of Maternal Caregiving on Brain-Behavior Relationships in Infants,Mary Louise Phillips
13381,12846,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
13628,13114,2338,Multimodal Imaging of Early Neural Signature in Autism Spectrum Disorder,Inna Fishman
13703,13195,2342,Cognitive and Neural Flexibility in Autism,Lucina Qazi Uddin
14557,14327,2438,Deprivation and Threat: Dimensions of Early Experience and Neural Development,Katie Mclaughlin
14930,14723,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
14931,14724,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
14932,14725,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
15824,15878,2494,Functional Anatomic Studies of Self-Affect:  A Multimodal Approach,James V. Haxby
15939,15997,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
15943,16002,2102,A Multidimensional Investigation of Cognitive Control Deficits in Psychopathology,Andrew Robert Mayer
16053,16118,2432,Modulation of ventrolateral prefrontal cortical activity during reward processing by transcranial direct current stimulation,Mary Phillips
16233,16312,2716,The Role of Caregiver Social Processes on Neural and Endocrine Function in Infants,Ian Gotlib
16450,16539,2690,Integration of Neural Networks and Attachment in Human Infants,Nancy Mcelwain
16519,16614,1906,Atypical Late Neurodevelopment in Autism,"Janet E Lainhart, MD"
16550,16646,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
16555,16652,2342,Cognitive and Neural Flexibility in Autism,Lucina Qazi Uddin
17078,17404,2737,Imaging-guided tDCS therapy in major depression,Katherine Narr
17588,18005,2590,Using complex video stimuli to elucidate atypical brain functioning in ASD,Daniel Kennedy
17813,18246,2393,Fear extinction and sleep across the spectrum of severity in post-traumatic hyperarousal,Edward Pace-Schott
18362,18898,2851,1/5 to 5/5 Neurocognitive and neuroimaging biomarkers: predicting progression towards dementia in patients with treatment-resistant late-life depression,Aristotle Voineskos
18426,18964,2923,Social Processes Initiative in Neurobiology of Autism-spectrum and Schizophrenia-spectrum Disorders(SPIN-ASD),Stephanie Ameis
20963,21623,2843,Recruitment and Characterization of Healthy Research Volunteers for NIMH Intramural Studies,Joyce Chung
21267,22200,2528,Optimized dosing of repetitive transcranial magnetic stimulation for enhancement of hippocampal-cortical networks,Joel Voss
21385,22326,2641,Investigating a Neurobehavioral Mechanism of Paranoia,Amy Pinkham
21830,22787,2590,Using complex video stimuli to elucidate atypical brain functioning in ASD,Daniel Kennedy
21883,22846,2930,Brain connectivity and the role of myelin in Psychosis,Sophia Frangou
22302,23300,2923,Social Processes Initiative in Neurobiology of Autism-spectrum and Schizophrenia-spectrum Disorders(SPIN-ASD),Stephanie Ameis
22651,23666,2851,1/5 to 5/5 Neurocognitive and neuroimaging biomarkers: predicting progression towards dementia in patients with treatment-resistant late-life depression,Aristotle Voineskos
22656,23671,2402,Whole Brain Functional Connectivity Measures of Attention,Marvin Chun
22676,23691,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
22959,23982,2687,Neural dynamics supporting integration and recall over long timescales during natural continuous input,Uri Hasson
23027,24053,2275,Predictors and Mechanisms of Conversion to Psychosis (NAPLS3),"Jean Addington, Kristin Cadenhead, Tyrone Cannon, Barbara Cornblatt, Daniel Mathalon, Diana Perkins, Larry Seidman, Elaine Walker, Scott Woods"
23904,24975,2895,Neural Circuitry of Valence Flexibility across Development,Jennifer Britton
24547,25765,2908,"The contribution of aberrant anticipatory processing to spectrum depression and mania, and cognitive and emotional dysfunction in major depressive and bipolar disorders",Anna Manelis
25285,26746,2590,Using complex video stimuli to elucidate atypical brain functioning in ASD,Daniel Kennedy
26569,28046,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
26605,28082,2923,Social Processes Initiative in Neurobiology of Autism-spectrum and Schizophrenia-spectrum Disorders(SPIN-ASD),Stephanie Ameis
26763,28255,2692,The New Tics Study: A Novel Approach to Pathophysiology and Cause of Tic Disorders,Kevin Black
26887,28389,2851,1/5 to 5/5 Neurocognitive and neuroimaging biomarkers: predicting progression towards dementia in patients with treatment-resistant late-life depression,Aristotle Voineskos
27120,28633,2098,2/3-Social Processes Initiative in Neurobiology of the Schizophrenia(s),"Anil K Malhotra, Aristotle Voineskos and Robert W. Buchanan"
27125,28639,2916,Trajectories of treatment response as window into the heterogeneity of psychosis: a longitudinal multimodal imaging study in medication-naieve first episode psychosis patients,Adrienne Lahti
27825,29364,2275,Predictors and Mechanisms of Conversion to Psychosis (NAPLS3),"Jean Addington, Kristin Cadenhead, Tyrone Cannon, Barbara Cornblatt, Daniel Mathalon, Diana Perkins, Larry Seidman, Elaine Walker, Scott Woods"
31336,32895,2521,"Computational, Neural, and Behavioral Studies of Competition-Dependent Learning",Kenneth Norman
35427,37666,3224,Multimodal imaging of hippocampal-cortical networks and mechanisms of trauma-related intrusions,Isabelle Rosso
35580,37830,2275,Predictors and Mechanisms of Conversion to Psychosis (NAPLS3),"Jean Addington, Kristin Cadenhead, Tyrone Cannon, Barbara Cornblatt, Daniel Mathalon, Diana Perkins, Larry Seidman, Elaine Walker, Scott Woods"
10085,8826,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
10324,9074,2026,Biomarkers of Developmental Trajectories and Treatment in ASD,Susan Bookheimer
10619,9389,2199,Establishing Moderators/Biosignatures of Antidepressant Response - Clinical Care (EMBARC) MDD Treatment and Controls,"Madhukar H. Trivedi, Myrna M. Weissman, Patrick J. McGrath and Ramin V. Parsey"
10997,9873,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11014,9891,2155,Multimodal Treatment Study of Children With ADHD,"Howard Abikoff, Ph.D., L. Eugene Arnold, M.D., Claudia Buss, Ph.D., C. Keith Conners, Ph.D., Glen Elliott, M.D., Jeffery Epstein, Ph.D., Drew Erhardt, PhD, Karen Fleis, Psy.D., Laurence L. Greenhill, M.D., Jeffrey Halperin, Ph.D., Lily Hechtman, M.D., Stephen Hinshaw, Ph.D., Kimberly Hoagwood, Ph.D., Betsy Hoza, Ph.D., Peter Jensen, M.D., John March, MD, Daniel Mathalon, M.D., Ph.D. , Keith McBurnett, Ph.D., Brooke Molina, Ph.D., Desiree Murray, Ph.D., Jeffrey Newcorn, M.D., Elizabeth Owens, Ph.D., William Pelham, Jr., Ph.D., Bradley Peterson, M.D, Linda Pfiffner, Ph.D., Steven Potkin, M.D., Allen Song, Ph.D., James M. Swanson, Ph.D., Leanne Tamm, Ph.D., Katerina Velanova, Ph.D., Benedetto Vitiello, MD, Alan Vitolo, Ph.D., Karen Wells, Ph.D., & Timothy Wigal, PhD"
11221,10201,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11275,10259,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
11277,10261,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
11312,10298,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11315,10301,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11503,10554,2199,Establishing Moderators/Biosignatures of Antidepressant Response - Clinical Care (EMBARC) MDD Treatment and Controls,"Madhukar H. Trivedi, Myrna M. Weissman, Patrick J. McGrath and Ramin V. Parsey"
11529,10609,2072,Intrinsic Brain Architecture of Young Children with Autism While Awake and Asleep,Adriana DiMartino
11547,10631,2199,Establishing Moderators/Biosignatures of Antidepressant Response - Clinical Care (EMBARC) MDD Treatment and Controls,"Madhukar H. Trivedi, Myrna M. Weissman, Patrick J. McGrath and Ramin V. Parsey"
11631,10728,1890,Fetal Programming of the Newborn and Infant Human Brain,Claudia Buss and Pathik D. Wadhwa
11869,10980,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
12055,11293,2274,Bipolar & Schizophrenia Consortium for Parsing Intermediate Phenotypes (B-SNIP 1),Carol Tamminga
12074,11336,2274,Bipolar & Schizophrenia Consortium for Parsing Intermediate Phenotypes (B-SNIP 1),Carol Tamminga
12198,11469,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12544,11843,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
12577,11876,2433,Targeting Dopaminergic Mechanisms of Slowing to Improve Late Life Depression,Bret Rutherford
12579,11879,2075,Mapping Thalamocortical Networks Across Development in ASD,Carissa Cascio
12613,11913,2438,Deprivation and Threat: Dimensions of Early Experience and Neural Development,Katie Mclaughlin
12903,12346,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
13143,12603,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13155,12615,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13198,12658,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13369,12833,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13387,12852,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13579,13063,2417,The Neurobiology of Social Decision-Making,Ralph Adolphs
13934,13467,2687,Neural dynamics supporting integration and recall over long timescales during natural continuous input,Uri Hasson
14021,13560,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
14900,14693,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
15151,14953,2275,Predictors and Mechanisms of Conversion to Psychosis (NAPLS3),"Jean Addington, Kristin Cadenhead, Tyrone Cannon, Barbara Cornblatt, Daniel Mathalon, Diana Perkins, Larry Seidman, Elaine Walker, Scott Woods"
15323,15185,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
15836,15891,2494,Functional Anatomic Studies of Self-Affect:  A Multimodal Approach,James V. Haxby
16166,16239,2699,Investigating the Neural Basis of Flexible Emotion Perception,Jonathan Freeman
16245,16325,2851,1/5 to 5/5 Neurocognitive and neuroimaging biomarkers: predicting progression towards dementia in patients with treatment-resistant late-life depression,Aristotle Voineskos
16610,16712,2521,"Computational, Neural, and Behavioral Studies of Competition-Dependent Learning",Kenneth Norman
16740,16858,2809,Brain plasticity underlying acquisition of new organizational skills in children,Francisco Castellanos
16813,16933,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
16965,17091,2400,Atypical Late Neurodevelopment in Autism: A Longitudinal Clinical Phenotype and Multimodal Brain Imaging Study,Janet Lainhart
17802,18233,2432,Modulation of ventrolateral prefrontal cortical activity during reward processing by transcranial direct current stimulation,Mary Phillips
18145,18663,2809,Brain plasticity underlying acquisition of new organizational skills in children,Francisco Castellanos
18207,18728,2308,Intergenerational Effects of Maternal Childhood Trauma on the Fetal Brain,Pathik Wadhwa
21284,22219,2400,Atypical Late Neurodevelopment in Autism: A Longitudinal Clinical Phenotype and Multimodal Brain Imaging Study,Janet Lainhart
21388,22329,2641,Investigating a Neurobehavioral Mechanism of Paranoia,Amy Pinkham
22196,23188,2494,Functional Anatomic Studies of Self-Affect:  A Multimodal Approach,James V. Haxby
22467,23474,2393,Fear extinction and sleep across the spectrum of severity in post-traumatic hyperarousal,Edward Pace-Schott
22653,23668,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
22714,23732,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
23835,24903,2275,Predictors and Mechanisms of Conversion to Psychosis (NAPLS3),"Jean Addington, Kristin Cadenhead, Tyrone Cannon, Barbara Cornblatt, Daniel Mathalon, Diana Perkins, Larry Seidman, Elaine Walker, Scott Woods"
24410,25482,2930,Brain connectivity and the role of myelin in Psychosis,Sophia Frangou
25545,27006,2590,Using complex video stimuli to elucidate atypical brain functioning in ASD,Daniel Kennedy
26700,28185,2297,Acute Neurocognitive-affective Predictors of Chronic Post-trauma Outcomes,Christine Larson
27342,28872,2393,Fear extinction and sleep across the spectrum of severity in post-traumatic hyperarousal,Edward Pace-Schott
29243,30788,2275,Predictors and Mechanisms of Conversion to Psychosis (NAPLS3),"Jean Addington, Kristin Cadenhead, Tyrone Cannon, Barbara Cornblatt, Daniel Mathalon, Diana Perkins, Larry Seidman, Elaine Walker, Scott Woods"
9424,8160,1890,Fetal Programming of the Newborn and Infant Human Brain,Claudia Buss and Pathik D. Wadhwa
9980,8720,2026,Biomarkers of Developmental Trajectories and Treatment in ASD,Susan Bookheimer
10731,9586,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
10990,9866,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
10996,9872,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11024,9901,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11070,10038,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11091,10061,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
11092,10062,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
11115,10085,2098,2/3-Social Processes Initiative in Neurobiology of the Schizophrenia(s),"Anil K Malhotra, Aristotle Voineskos and Robert W. Buchanan"
11249,10232,2026,Biomarkers of Developmental Trajectories and Treatment in ASD,Susan Bookheimer
11310,10296,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11335,10321,2275,Predictors and Mechanisms of Conversion to Psychosis (NAPLS3),"Jean Addington, Kristin Cadenhead, Tyrone Cannon, Barbara Cornblatt, Daniel Mathalon, Diana Perkins, Larry Seidman, Elaine Walker, Scott Woods"
11397,10386,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
11430,10419,2106,"Effects of poverty on affective development: A multi-level, longitudinal study",Christopher Monk
11839,10949,2075,Mapping Thalamocortical Networks Across Development in ASD,Carissa Cascio
11868,10979,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
11966,11084,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12058,11305,2274,Bipolar & Schizophrenia Consortium for Parsing Intermediate Phenotypes (B-SNIP 1),Carol Tamminga
12195,11466,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12200,11471,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12251,11524,2266,Inhibitory dysfunction in autism,Scott Murray
12313,11590,2126,Psychosis and Affective Research Domains and Intermediate Phenotypes (PARDIP),Carol Tamminga
12405,11699,2342,Cognitive and Neural Flexibility in Autism,Lucina Qazi Uddin
12458,11757,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
12528,11827,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
12529,11828,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
12963,12408,2417,The Neurobiology of Social Decision-Making,Ralph Adolphs
13065,12514,2393,Fear extinction and sleep across the spectrum of severity in post-traumatic hyperarousal,Edward Pace-Schott
13146,12606,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13149,12609,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13150,12610,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13151,12611,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13154,12614,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13159,12619,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13166,12626,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13391,12856,2105,Validating RDoC for Children and Adolescents: A Twin Study with Neuroimaging,Harold Hill Goldsmith
13484,12953,2126,Psychosis and Affective Research Domains and Intermediate Phenotypes (PARDIP),Carol Tamminga
13553,13031,2102,A Multidimensional Investigation of Cognitive Control Deficits in Psychopathology,Andrew Robert Mayer
13565,13045,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
13583,13067,2021,Multimodal Developmental Neurogenetics of Females with ASD,Kevin Pelphrey
13742,13235,2433,Targeting Dopaminergic Mechanisms of Slowing to Improve Late Life Depression,Bret Rutherford
13797,13304,2297,Acute Neurocognitive-affective Predictors of Chronic Post-trauma Outcomes,Christine Larson
14823,14611,2338,Multimodal Imaging of Early Neural Signature in Autism Spectrum Disorder,Inna Fishman
15398,15426,2494,Functional Anatomic Studies of Self-Affect:  A Multimodal Approach,James V. Haxby
15451,15483,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
15624,15663,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
15759,15811,2266,Inhibitory dysfunction in autism,Scott Murray
15981,16042,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
16084,16153,2366,Neuroimaging Studies of Reward Processing in Depression,Diego Pizzagalli
16786,16905,2096,Multi-Level Assays of Working Memory and Psychopathology,Robert M. Bilder
17515,17928,2438,Deprivation and Threat: Dimensions of Early Experience and Neural Development,Katie Mclaughlin
17593,18010,2590,Using complex video stimuli to elucidate atypical brain functioning in ASD,Daniel Kennedy
17669,18094,2521,"Computational, Neural, and Behavioral Studies of Competition-Dependent Learning",Kenneth Norman
17882,18319,2590,Using complex video stimuli to elucidate atypical brain functioning in ASD,Daniel Kennedy
18015,18476,2594,Development of Attention Bias Modification for Depression,Christopher Beevers
18917,19485,2342,Cognitive and Neural Flexibility in Autism,Lucina Qazi Uddin
21424,22368,2809,Brain plasticity underlying acquisition of new organizational skills in children,Francisco Castellanos
22280,23275,2737,Imaging-guided tDCS therapy in major depression,Katherine Narr
22308,23308,2955,1/3 Brain Function and Genetics in Pediatric Obsessive-Compulsive Behaviors,David Rosenberg
22361,23364,2699,Investigating the Neural Basis of Flexible Emotion Perception,Jonathan Freeman
22395,23402,2944,Reliability of Repetitive TMS-induced Modulation of Cortical Excitability,Moushin Shafi
22503,23512,2336,Children of Bipolar Parents: A High Risk Follow Up Study (also known as Bipolar Offspring Study - BIOS),Boris Birmaher
